Monto
140186.18
141058.32
142940.47
176322.79
176489.42
178978.61
179169.59
179332.39
179689.46
181178.18
181989.97
183224.83
183246.25
184020.81
185130.34
186559.5
188022.15
189645.89
190559.14
192575.37
192778.4
192831.5
193485.61
193487.38
195798.11
202508.84
203937.51
206063.89
206309.93
208810.89
214128.56
219225.68
220212.86
223285.84
224490.25
232557.46
235946.16
241847.55
243761.16
245150.66
246354.21
246948.57
251024.7
253718.02
255989.61
257118.58
257445.37
260780.08
262507.42
262576.42
264492.8
265642.66
266674.81
269582.16
270971.3
271706.18
273000.19
274541.78
279993.83
282980.34
284602.57
284812.96
286630.42
287954.77
290421.11
295068.08
306670.21
307881.1
310624.94
311499.44
314998.12
319078.29
325063.2
325937.7
329809.03
329954.17
332165.42
333253.36
347180.48
350515.4
351509.23
354943.55
356674.85
368807.66
369483.83
378297.91
379011.9
385181.45
392266.83
393673.84
393971.96
394250.34
395298.3
396622
398184.9
403771.45
408462.49
409994.81
417034.55
420578.27
422729.86
433005.3
447956.88
450131.98
496893.52
497301.45
497322.96
498911.49
499361.39
520671.56
526616.69
535910.43
555193.28
491183.09
496839.94
497510.74
511844.04
512344.04
644393
648890.59
597610.74
598410.74
598110.74
649590.59
695444.23
745155.94
756018.99
787856.38
961657.89
1065238
